NAME,RA,DEC,PMRA,PMDEC,EPOCH,RESOLUTION,SUBSURVEY,TEMPLATE,RULESET,EXTENT_FLAG,EXTENT_PARAMER,EXTENT_INDEX,MAG_TYPE,MAG,MAG_ERR,DATE_EARLIEST,DATE_LATEST,CADENCE,REDDENING,REDSHIFT_ESTIMATE,REDSHIFT_ERROR,TEMPLATE_REDSHIFT,CAL_MAG_BLUE,CAL_MAG_GREEN,CAL_MAG_RED,CAL_ERR_BLUE,CAL_ERR_GREEN,CAL_ERR_RED,CAL_ID_BLUE,CAL_ID_GREEN,CAL_ID_RED,CLASSIFICATION,COMPLETENESS,PARALLAX
b'i06n20s0900HK8',176.60921403185657,-25.80927099470022,-0.496,-7.15,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.822256824493408,0.003515434,0,0,0,0.11432258352156607,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1016
b'i06n20s0900AZU',177.42690742118404,-25.988335157494166,-0.991,-5.512,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.54650374984741,0.0031691655,0,0,0,0.04599999996923631,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.0053
b'i06n20s0800PL4',176.0227456350065,-25.620001458464028,0.371,-4.977,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.746622661590576,0.0020240943,0,0,0,0.17390322300695604,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.139
b'i06n20s0801AFI',175.09303002048506,-25.056605613919867,0.755,-5.214,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.157997337341309,0.0026606927,0,0,0,0.40667741529403195,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1637
b'i06n16s1500ZDF',171.42474907590923,-20.051088152953863,-18.293,-2.68,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.177217247009278,0.0015944124,0,0,0,0.08148387555153139,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1999
b'i06n16s1500Q2F',171.70046341959736,-20.29985126134649,-0.954,0.536,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.001874053955078,0.0007588925,0,0,0,0.06332258062977944,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.2378
b'i06n18s1800951',175.25503199042274,-23.37197524253192,-0.668,-7.737,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.40447106170654,0.0025813668,0,0,0,0.34690322414521246,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.0958
b'i06n13s5000MSL',218.13831468317207,-16.230107577968788,-4.024,-5.333,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,14.893960899353026,0.0021850818,0,0,0,0.2869354909466159,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1784
b'i06n13s50014TQ',218.68501762947517,-15.683889652134438,1.091,-3.673,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,15.245182891845705,0.0028187,0,0,0,0.15187097172583303,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.1696
b'i06n11s4900EG7',216.91086451963392,-13.749657312118435,-5.292,-5.544,2000.0,1,StreamInG@4MOST,ST_TEMPLATE.fits,ST_RULESET_LRS,0,0.0,0.0,SPLUS_r_AB_auto,13.812049400329588,0.0011964503,0,0,0,0.01783871001774265,0,0,0,0,0,0,0,0,0,0,0,0,STAR,0,0.2397
